Market,Order Quantity,Entry Price,Exit Price,Opening Fee,Closing Fee,Funding Fee,cumClosedPzOpenFeeInfo,cumClosedPzTradeFeeInfo,Trade Type,Realized P&L,Trade time
TAOUSDT,1.8930,263.91620707,255.28000000,0.27477637,0.26578479,-0.05873021,"{""USDT"":""0.27477637""}","{""USDT"":""0.26578479""}",Trade,15.86650905,04:09 2026-05-29
BTCUSDT,0.0060,74237.80000000,73750.00000000,0.24498474,0.24337500,-0.04407226,"{""USDT"":""0.24498474""}","{""USDT"":""0.243375""}",Trade,2.48251252,21:37 2026-05-28
TAOUSDT,1.8790,265.94249068,261.52000000,0.27483832,0.27026785,-0.01962256,"{""USDT"":""0.27483832""}","{""USDT"":""0.27026785""}",Trade,7.78437639,08:12 2026-05-28
ETHUSDT,0.2400,2020.19000000,2003.05000000,0.26666508,0.26440260,-0.01006895,"{""USDT"":""0.26666508""}","{""USDT"":""0.2644026""}",Trade,-4.63459873,03:17 2026-05-28
TAOUSDT,1.8780,266.18000000,265.15000000,0.27493734,0.27387345,0.02504501,"{""USDT"":""0.27493734""}","{""USDT"":""0.27387345""}",Trade,-2.50819580,00:12 2026-05-28
TAOUSDT,1.8750,266.54000000,265.13264000,0.27486938,0.27341809,0E-8,"{""USDT"":""0.27486938""}","{""USDT"":""0.27341809""}",Trade,-3.18708747,23:26 2026-05-27
SOLUSDT,1.5000,85.37000000,82.23000000,0.07043025,0.06783975,-0.01466876,"{""USDT"":""0.07043025""}","{""USDT"":""0.06783975""}",Trade,4.58639876,21:47 2026-05-27
BTCUSDT,0.0060,75717.70000000,75216.40000000,0.24986841,0.24821412,0.03456882,"{""USDT"":""0.24986841""}","{""USDT"":""0.24821412""}",Trade,2.47514865,13:25 2026-05-27
TAOUSDT,1.8120,275.85203642,277.20599338,0.27491415,0.27626359,-0.02498838,"{""USDT"":""0.27491415""}","{""USDT"":""0.27626359""}",Trade,-2.97955936,08:05 2026-05-27
ETHUSDT,0.2400,2062.19210000,2084.25000000,0.27220937,0.27512100,-0.01688389,"{""USDT"":""0.27220937""}","{""USDT"":""0.275121""}",Trade,4.76345352,08:02 2026-05-27
TAOUSDT,1.8200,274.79884065,275.95676374,0.27507368,0.27623274,0E-8,"{""USDT"":""0.27507368""}","{""USDT"":""0.27623274""}",Trade,-2.65872642,07:58 2026-05-27
TAOUSDT,1.8160,275.22000000,275.02724670,0.27488976,0.27469724,0E-8,"{""USDT"":""0.27488976""}","{""USDT"":""0.27469724""}",Trade,-0.19954700,07:15 2026-05-27
TAOUSDT,1.8060,276.69199889,275.98483389,0.27483828,0.27413575,0E-8,"{""USDT"":""0.27483828""}","{""USDT"":""0.27413575""}",Trade,0.72816597,07:06 2026-05-27
TAOUSDT,1.8090,276.19200663,275.87000000,0.27479728,0.27447687,0E-8,"{""USDT"":""0.27479728""}","{""USDT"":""0.27447687""}",Trade,0.03323585,06:36 2026-05-27
TAOUSDT,1.8080,276.26174778,275.91000000,0.27471474,0.27436493,0E-8,"{""USDT"":""0.27471474""}","{""USDT"":""0.27436493""}",Trade,0.08688033,06:15 2026-05-27
TAOUSDT,1.8120,275.90590507,277.08000000,0.27496789,0.27613793,0E-8,"{""USDT"":""0.27496789""}","{""USDT"":""0.27613793""}",Trade,-2.67856582,06:09 2026-05-27
TAOUSDT,1.8200,274.67000000,275.97000000,0.27494468,0.27624597,0E-8,"{""USDT"":""0.27494468""}","{""USDT"":""0.27624597""}",Trade,-2.91719065,05:50 2026-05-27
TAOUSDT,1.8160,275.18000000,274.99543503,0.27484980,0.27466545,0E-8,"{""USDT"":""0.2748498""}","{""USDT"":""0.27466545""}",Trade,-0.21434525,05:33 2026-05-27
ETHUSDT,0.2400,2075.42000000,2062.77000000,0.27395544,0.27228564,-0.00596448,"{""USDT"":""0.27395544""}","{""USDT"":""0.27228564""}",Trade,2.49572340,04:18 2026-05-27
TAOUSDT,1.8190,274.74401319,273.40000000,0.27486767,0.27352303,-0.02497850,"{""USDT"":""0.27486767""}","{""USDT"":""0.27352303""}",Trade,1.92134780,04:17 2026-05-27
TAOUSDT,1.8030,276.96514697,275.91000000,0.27465258,0.27360616,0E-8,"{""USDT"":""0.27465258""}","{""USDT"":""0.27360616""}",Trade,1.35417126,03:48 2026-05-27
TAOUSDT,1.7870,279.40403469,278.77000000,0.27461228,0.27398910,0E-8,"{""USDT"":""0.27461228""}","{""USDT"":""0.2739891""}",Trade,0.58441862,02:17 2026-05-27
TAOUSDT,1.7610,283.59382169,278.96182851,0.27467485,0.27018851,0E-8,"{""USDT"":""0.27467485""}","{""USDT"":""0.27018851""}",Trade,7.61207664,02:10 2026-05-27
TAOUSDT,1.7740,281.77000000,283.89477453,0.27492302,0.27699622,0E-8,"{""USDT"":""0.27492302""}","{""USDT"":""0.27699622""}",Trade,-4.32126924,00:43 2026-05-27
TAOUSDT,1.7930,278.65000000,279.99651980,0.27479071,0.27611865,-0.02492718,"{""USDT"":""0.27479071""}","{""USDT"":""0.27611865""}",Trade,-2.94029218,00:04 2026-05-27
TAOUSDT,1.7900,279.09577653,278.79000000,0.27476982,0.27446876,0E-8,"{""USDT"":""0.27476982""}","{""USDT"":""0.27446876""}",Trade,-0.00189858,23:26 2026-05-26
TAOUSDT,1.7860,279.65000000,278.78000000,0.27470020,0.27384561,0E-8,"{""USDT"":""0.2747002""}","{""USDT"":""0.27384561""}",Trade,1.00527419,22:56 2026-05-26
BTCUSDT,0.0060,75858.50000000,75777.90000000,0.25033305,0.25006708,0E-8,"{""USDT"":""0.25033305""}","{""USDT"":""0.25006708""}",Trade,-0.01680013,22:06 2026-05-26
TAOUSDT,1.7730,281.72000000,278.85746193,0.27471927,0.27192787,0E-8,"{""USDT"":""0.27471927""}","{""USDT"":""0.27192787""}",Trade,4.52863286,21:58 2026-05-26
TAOUSDT,1.7880,279.41156599,281.82190716,0.27477336,0.27714367,0E-8,"{""USDT"":""0.27477336""}","{""USDT"":""0.27714367""}",Trade,-4.86160703,21:29 2026-05-26
